bandgap,number_of_magnetic_atoms,Cr,max ionic char,V,Mn,avg d valence electrons,O,frac s valence electrons,energy_per_atom,decomposition_energy,Yang omega,Yang delta,Mo,band center,Ag,W,avg ionic char,magnet
0,0,0,0.003020429,0,0,6,0,0.25,-4.445702705,0.32563347,0.505914623,0.007092199,0,-1.594051442,0,0,0.000755107,1
0.9872,0,0,0.100238004,0,0,5,0,0.176470588,-3.366072998,0,4677368.632,0.165991903,0,-2.231456923,0.5,0,0.025059501,0
0,0,0,0.049364908,0,0,5,0,0.2,-4.650270628,1.533047929,13097923.04,0.290322581,0,-2.314087293,0,0,0.012341227,1
0,0,0,0.209607009,0,0,4,0,0.176470588,-4.82499706,0.97301247,0.209791073,0.034077435,0,-1.62733855,0,0,0.046579335,1
0.6943,0,0,0.109168515,0,0,6.666666667,0,0.142857143,-4.195332012,0.054313022,5475257.661,0.091625104,0,-2.103983369,0,0,0.02425967,0
0,1,0,0.378798641,0,0,7.5,0,0.142857143,-5.00250678,0.006963359,3304236.042,0.215301306,0,-2.098705984,0,0,0.071024745,0
0.1995,0,0,0.225102875,0,0,8.666666667,0,0.142857143,-4.800738113,0,2753909.257,0.073313704,0,-2.344428203,0,0,0.031264288,1
0,0,0,0.302323674,0,0,0.25,0,0.333333333,-6.837243529,0.183223336,3007450.893,0.203988853,0,-2.206401536,0,0,0.056685689,1
0,0,0,0.075405485,0,0,10,0,0.095238095,-3.078337523,0.434301633,1.601105062,0.198606272,0,-1.879255172,0,0,0.018851371,1
0,0,0,0.008984397,0,0,9,0,0.138888889,-6.02542769,0.441935516,0.539545843,0.078133346,0,-2.071436376,0,0,0.001996533,1
0.7532,0,0,0.039210561,0,0,0,0.6,0.357142857,-6.236979779,0.226117131,325093.8439,0.058321184,0,-3.274043905,0,0,0.009410535,0
0,0,0,0.013137934,0,0,10,0,0.1,-3.202343847,0.400925617,3609006.059,0.105910267,0,-2.174026516,0,0,0.002919541,1
0,1,0,0.023738697,0,0,1.166666667,0,0.631578947,-4.051544981,0.440510769,2.688105123,0.042436327,0,-1.61786651,0,0,0.003297041,0
0.7011,0,0,0.000899595,0,0,10,0,0.093023256,-3.868857963,0.084963227,3.023985136,0.022082019,0,-1.989773856,0,0,0.000224899,0
1.1633,0,0,0.100238004,0,0,5,0,0.2,-4.362940523,0.433909185,6284361.381,0.035087719,0,-2.20113607,0,0,0.025059501,0
0,0,0,0.497871894,0,0,6.666666667,0.333333333,0.1875,-4.102790237,0.249469512,1612818.737,0.344100091,0,-2.217172495,0,0,0.110638199,1
0,0,0,0.002496878,0,0,0.166666667,0,0.923076923,-2.177159735,0.332337092,0.950726143,0.026262543,0,-1.016011868,0,0,0.000346789,1
1.4948,0,0,0.05825901,0,0,5,0,0.210526316,-3.785499133,0.034459715,4771994.229,0.003558719,0,-1.838749575,0,0,0.014564753,0
0,0,0,0.035456166,0,0,3.5,0,0.214285714,-7.07403437,0.040453311,8630868.733,0.130801688,0,-2.382435728,0,0,0.008864041,1
0,0,0,0.060586937,0,0,7,0,0.142857143,-6.877721763,0.16085721,10006167.08,0.010600707,0,-1.833030278,0,0,0.015146734,1
0,1,0,0.004888015,0,0,9.333333333,0,0.15,-4.687999488,0.188497017,7.016290706,0.094064664,0,-2.002228765,0,0,0.001086225,1
2.9608,0,0,0.400239578,0,0,5,0.5,0.2,-5.86660229,0.131863619,3648444.925,0.280898876,0,-2.629524672,0,0,0.100059894,0
0.9213,0,0,0.020805516,0,0,10,0,0.14,-3.286342892,0.108605754,2741208.808,0.021741224,0,-1.929029563,0,0,0.005095228,0
0,0,0,0.229025515,0,0,6.666666667,0,0.103448276,-2.905025327,0.133344025,0.526937212,0.03897439,0,-1.92306684,0,0,0.050894559,1
0,0,0,0.012027089,0,0,0.166666667,0,0.923076923,-2.418331353,0.343473355,0.753347795,0.04154856,0,-1.033697117,0,0,0.001670429,1
0,0,0,0.176012567,0,0,0,0,0.666666667,-2.8945679,0.533000722,0.108684852,0.194370584,0,-1.554755978,0,0,0.039113904,1
1.2766,0,0,0.025275098,0,0,10,0,0.137931034,-3.27028764,0,3320568.959,0.050847458,0,-1.933390804,0,0,0.006318775,0
0.2167,0,0,0.310714689,0,0,8.666666667,0,0.142857143,-5.028243544,0.004855946,2870658.527,0.119575828,0,-2.287838815,0,0,0.043154818,0
1.8485,0,0,0.012027089,0,0,10,0,0.090909091,-4.016714073,0.148743957,3154023.297,0.191780822,0,-2.437519231,0,0,0.003006772,0
0,0,0,0.447277936,0,0,5,0,0.111111111,-3.033058608,0.415746637,0.117769585,0.168604651,0,-1.593737745,0,0,0.111819484,1
1.0465,0,0,0.002022951,0,0,10,0,0.137931034,-4.029195405,0.039383955,4.059507279,0,0,-2.004494949,0,0,0.000505738,0
0.6193,0,0,0.037311127,0,0,0,0,0.357142857,-4.53177819,0.283589228,2013992.733,0.004774834,0,-2.416292298,0,0,0.00895467,0
0,0,0,0.134458538,0,0,6.666666667,0,0.103448276,-3.153757933,0.570485705,0.219184765,0.190611393,0,-2.042696438,0,0,0.029879675,1
0,0,0,0.221199217,0,0.333333333,8.333333333,0,0.153846154,-5.79375962,0,4422330.28,0.053801603,0,-2.16008423,0,0,0.049155382,1
0,0,0,0.323366154,0,0,2.333333333,0,0.222222222,-3.970274953,0.238351681,0.600184814,0.191928983,0,-1.256868853,0,0,0.071859145,1
0,0,0,0.051525145,0,0,6,0,0.133333333,-3.93724766,0.229750302,0.626799496,0.034013605,0,-1.754992877,0,0,0.012881286,1
0,0,0,0.100238004,0,0,5,0,0.176470588,-3.377157614,0,4677368.632,0.165991903,0,-2.231456923,0.5,0,0.025059501,1
0.1752,0,0,0.002022951,0,0,6,0,0.172413793,-3.892254812,0.155266839,3136321.876,0.149167645,0,-2.135547437,0,0,0.000485508,0
0.3649,0,0,0.055972517,0,0,10,0,0.08974359,-2.785635439,0.177022782,3630466.088,0.100046256,0,-1.810576374,0,0,0.013707555,0
0,0,0,0.004888015,0,0,8.333333333,0,0.153846154,-4.345185937,0.682730715,0.87633126,0.091061592,0,-2.156016628,0,0,0.000678891,0
0.7101,0,0,0.067815945,0,0,4,0,0.208333333,-4.334237308,0.047144496,3326633.267,0.205772967,0,-2.353278722,0,0,0.016275827,0
0,0,0,0.009950166,0,0,10,0,0.105263158,-3.673034628,0.14906252,6064960.498,0.050507627,0,-1.964455365,0,0,0.002211148,1
0,0,0,0.395951025,0,0,7.5,0,0.150943396,-5.009110214,0.02880874,3139433.324,0.209652332,0,-2.080533659,0,0,0.074240817,1
0.0209,0,0,0.008984397,0,0,8,0,0.115384615,-7.110346588,0.095415,8260778.899,0.064802239,0,-2.485025147,0,0.333333333,0.001996533,0
0.0444,0,0,0.033645949,0,0,7.5,0,0.163265306,-5.162291036,0.637317376,0.789561414,0.15596666,0,-2.267135176,0,0,0.006308616,0
0,0,0,0.007198962,0,0,10,0,0.111111111,-2.883036778,0.151925512,5640624.941,0.014084507,0,-2.013206398,0.5,0,0.001799741,1
0,0,0,0.035456166,0,0,5,0,0.125,-4.75279586,0.255611084,6386392.21,0.159183673,0,-2.382435728,0,0,0.008864041,1
0,0,0,0.070306205,0,0,10,0,0.130434783,-3.989144917,0.146606871,3879726.054,0.016162441,0,-2.355548982,0,0,0.015623601,0
0,0,0,0.225102875,0,0,8,0,0.153846154,-5.408930839,0.017911869,4000848.946,0.08380891,0,-2.247943107,0,0,0.042206789,1
0,0,0,0.091626826,0,0,10,0,0.11627907,-2.916332063,0.388596303,3921232.808,0.096761981,0,-2.323873891,0.333333333,0,0.020361517,1
0,0,0,0.018059929,0,0,9.333333333,0,0.12195122,-5.051942163,0.125335145,5688877.205,0.053801603,0,-2.456622372,0,0,0.004013318,1
0,0,0,0.070306205,0,0,0.666666667,0,0.6,-5.859321187,0.852950462,0.1425348,0.169444943,0,-1.520350796,0,0,0.015623601,1
0.6817,0,0,0.000624805,0,0,10,0,0.128205128,-3.627550877,1.053688331,4448962.41,0.050331981,0,-2.0798553,0,0,0.000149953,0
1.4115,0,0,0.13776291,0,0,10,0,0.137931034,-3.62753172,0.006035695,2661705.101,0.135531136,0,-2.130492901,0,0,0.034440728,0
0,0,0,0.006379564,0,0,2.333333333,0,0.357142857,-6.53632747,1.292298948,0.603864393,0.209851045,0,-2.091996749,0,0,0.001417681,1
1.8942,0,0,0.209607009,0,0,0,0,0.444444444,-4.772393538,0.048892769,3808737.921,0.155737705,0,-2.038087339,0,0,0.052401752,0
0.3671,0,0,0.019409169,0,0,10,0,0.093023256,-3.680368116,0.241042642,4.334768647,0.05775076,0,-2.185520533,0,0,0.004852292,0
0,0,0,0.236925796,0,0,1.2,0,0.416666667,-7.510754454,0.119811938,7385639.736,0.151155221,0,-1.893042285,0,0,0.056862191,1
0,0,0,0.049364908,0,0,3.333333333,0,0.181818182,-2.64661912,1.147869482,0.279691256,0.183188285,0,-1.707589824,0,0,0.01096998,1
2.1278,0,0,0.198203144,0,0,5,0,0.210526316,-4.325815472,0,4113130.372,0.088803089,0,-2.026203346,0,0,0.049550786,0
0,0,0,0.201982698,0.4,0,1.2,0,0.357142857,-7.038610437,0.045015842,6189742.024,0.131601702,0,-2.147073271,0,0,0.048475848,1
0.5699,0,0,0.194445968,0,0,10,0,0.104477612,-3.24953356,0.077227493,2575117.774,0.182829758,0,-2.239996171,0,0,0.039682851,0
0,0,0,0.190711652,0.25,0,8.25,0,0.150943396,-5.342485656,0.083606795,4283701.837,0.056788551,0,-2.280090244,0,0,0.035758435,1
0.7285,0,0,0.060586937,0,0,10,0,0.128205128,-3.983470721,0.020538973,3681293.305,0.136492651,0,-2.336822108,0,0,0.014540865,0
1.3148,0,0,0.005609209,0,0,5,0,0.210526316,-4.656134988,0.120428894,0.933138341,0.169811321,0,-1.973575436,0,0,0.001402302,0
0,0,0,0.007198962,0,0,10,0,0.111111111,-2.977329329,0.057632961,5640624.941,0.014084507,0,-2.013206398,0.5,0,0.001799741,1
0,0,0,0.080660682,0,0,8.666666667,0,0.078947368,-4.319652923,0.998413158,0.295027818,0.109239879,0,-1.793979888,0,0,0.017924596,1
0,0,0,0.115294095,0,0,6.666666667,0,0.2,-3.355554243,0.396099441,0.250555226,0.167664495,0,-1.742694004,0,0,0.02562091,1
0,1,0,0.217315029,0,0,1.166666667,0,0.631578947,-2.358394472,0.430432635,0.691437195,0.176721501,0,-1.008133347,0,0,0.030182643,1
0,0,0,0.187000675,0,0,3.333333333,0,0.166666667,-4.650914023,0.679015345,0.122337776,0.188157169,0,-1.344808594,0,0,0.041555706,1
0,0,0,0.103179905,0,0,7.333333333,0,0.130434783,-5.898647892,0.369681055,0.199365473,0.009065472,0,-1.70930081,0,0,0.022928868,0
0,0,0,0.198203144,0,0,6,0,0.172413793,-4.237767694,0.828670259,2567267.764,0.295328551,0,-2.434899331,0,0,0.047568755,1
0.328,0,0,0.002022951,0,0,6,0,0.172413793,-3.854424584,0.193097067,3136321.876,0.149167645,0,-2.135547437,0,0,0.000485508,0
0,0,0,0.413099512,0,0,0.25,0,0.363636364,-5.74787577,0,2613560.71,0.278680273,0,-2.094205448,0,0,0.077456159,1
0,0,0,0.240902461,0,0,7.666666667,0,0.117647059,-7.069854421,0.024383472,7546361.762,0.100219859,0,-2.136603194,0,0,0.05353388,1
1.4322,0,0,0.013137934,0,0,5,0,0.210526316,-4.642859128,0.095286885,0.315948838,0.206225681,0,-2.071810802,0,0,0.003284483,0
0,0,0,0.289811606,0,0,7.75,0,0.148148148,-6.30759398,0.057233629,3377871.298,0.135316469,0,-2.187131557,0,0,0.054339676,1
1.4084,0,0,0.05825901,0,0,6,0,0.172413793,-4.681444622,0.5932439,1799598.659,0.226258089,0,-2.735731945,0,0,0.013982162,0
0.3641,0,0,0.201982698,0,0,7.6,0,0.137931034,-6.956209412,0.037620593,7813443.091,0.095683193,0,-2.116274999,0,0,0.048475848,0
0,0,0,0.086068815,0,0,8.25,0,0.119402985,-5.582726538,0.037630194,6379361.242,0.015327883,0,-1.930577702,0,0,0.016137903,1
0.2403,0,0,0.031880743,0,0,6,0,0.172413793,-4.227452915,0.092047136,2368652.771,0.070236265,0,-2.399395026,0,0,0.007651378,0
1.8591,0,0,0.020805516,0,0,0,0,0.444444444,-5.567858912,0.003725182,0.226479048,0.037735849,0,-2.039852936,0,0,0.005201379,0
2.8563,0,0,0.421663847,0,0,4,0.6,0.217391304,-5.943449826,0.133764549,1314431.068,0.444031009,0,-2.746866128,0,0,0.101199323,0
1.3643,0,0,0.109168515,0,0,0,0,0.4,-4.819557883,0.466078911,5979968.93,0.03286385,0,-2.21404607,0,0,0.027292129,0
2.3127,0,0,0.091626826,0,0,5,0,0.2,-4.390407655,0.122079843,2574369.478,0.201550388,0,-2.248732977,0,0,0.022906706,0
0,0,0,0.002496878,0,0,10,0,0.076923077,-4.284128135,0.242366968,7349648.519,0.007092199,0,-2.149418526,0,0,0.000624219,1
0,0,0,0.091626826,0,0,10,0,0.111111111,-3.074885958,0.137756887,4981761.083,0.099236641,0,-2.218445402,0.5,0,0.022906706,1
0,0,0,0.005609209,0,0,10,0,0.1,-4.615844243,0.206433084,0.257672826,0.040674284,0,-2.098827766,0,0,0.001246491,0
0,0,0,0.147856211,0,0,0,0,0.230769231,-4.841823483,0.651354863,0.13261234,0.202030509,0,-1.319814789,0,0,0.032856936,1
2.0336,0,0,0.209607009,0,0,0,0,0.444444444,-4.814351338,0.006934969,3808737.921,0.155737705,0,-2.038087339,0,0,0.052401752,0
0.3869,0,0,0.005609209,0,0,10,0,0.103448276,-4.159590354,0.184143429,0.919683072,0.206531189,0,-2.228895134,0,0,0.001246491,0
2.5766,0,0,0.062955963,0,0,5,0,0.210526316,-5.228771553,0,8188975.262,0.145631068,0,-2.280789337,0,0,0.015738991,0
0,0,0,0.109168515,0,0,2.5,0,0.148148148,-8.18176575,0.532459296,11085832.46,0.141666667,0,-2.21404607,0,0,0.027292129,1
0.5924,0,0,0.004888015,0,0,5,0,0.121212121,-4.171096068,0.389024768,0.587750589,0.260869565,0,-2.258915669,0,0,0.001222004,0
0.4111,0,0,0.100238004,0,0,6.666666667,0,0.166666667,-4.460226173,0.12711794,4718681.092,0.032698579,0,-2.311770162,0,0,0.022275112,0
0,0,0,0.030160805,0,0,8,0,0.105263158,-7.115818523,0.374607054,10949368.75,0.067193676,0,-2.368543856,0,0,0.007540201,1
0,0,0,0.086068815,0,0,7.2,0,0.11627907,-6.912616467,0.072527035,9789722.7,0.017249928,0,-1.835557867,0,0,0.020656516,0
1.423,0,0,0.447277936,0,0,0,0.6,0.384615385,-7.134032232,0.532298732,3959766.118,0.273486719,0,-2.712916993,0,0,0.107346705,0
0,0,0,0.094461061,0,0,6,0,0.103448276,-6.268799935,0.242517542,0.829166438,0.046357616,0,-1.583982323,0.5,0,0.023615265,1
0,0,0,0.232966652,0,0,3.333333333,0,0.25,-6.25552284,0.789774741,0.033812205,0.230220812,0,-2.648384728,0,0,0.051770367,1
0,0,0,0.043141733,0,0,9,0,0.147058824,-4.587696233,0.463945472,0.687924169,0.066888479,0,-1.910238359,0,0,0.009587052,1
2.0456,0,0,0.485327756,0,0,4,0.6,0.227272727,-5.891635212,0.14406377,861940.7244,0.372748439,0,-2.660764855,0,0,0.116478661,0
0.4899,0,0,0.060586937,0,0,5,0,0.210526316,-5.847673375,0.828318254,1.047677272,0.336206897,0,-2.286372673,0,0,0.015146734,0
1.3468,0,0,0.012027089,0,0,10,0,0.137931034,-4.365314768,0.039402151,4.596083976,0.148148148,0,-2.067075228,0,0,0.003006772,0
0.9657,0,0,0.005609209,0,0,6.666666667,0,0.176470588,-4.432568591,0.127727756,0.866865816,0.151522882,0,-1.998728358,0,0,0.001246491,0
0,0,0,0.030160805,0,0,9,0,0.109090909,-5.454694873,0.158799044,6574401.657,0.068429689,0,-2.427547187,0,0,0.006702401,1
1.6559,0,0,0.127942572,0,0,10,0,0.132075472,-3.75905391,0.017535175,2185595.682,0.058970213,0,-2.312108941,0,0,0.026110729,0
1.7508,0,0,0.147856211,0,0,5,0,0.210526316,-3.954134223,0,2357312.65,0.201550388,0,-2.142988567,0,0,0.036964053,0
1.9448,0,0,0.447277936,0,0,0,0.5,0.4,-6.224373328,1.068463557,5018844.867,0.264367816,0,-2.556560189,0,0,0.111819484,0
1.3355,0,0,0.109168515,0,0,0,0,0.375,-5.10533625,0.133723978,4345984.666,0.031327516,0,-2.329866325,0,0,0.02425967,0
0.8456,0,0,0.055972517,0,0,10,0,0.093023256,-2.788090028,0.204313062,3744856.998,0.102564103,0,-1.844451138,0,0,0.013993129,0
0,0,0,0.078013779,0,0,5,0,0.125,-3.258408895,0.644958152,1.717898329,0.255474453,0,-1.883560458,0,0,0.019503445,0
1.3243,0,0,0.13776291,0,0,10,0,0.132075472,-3.604882423,0.046576405,2365853.926,0.130004748,0,-2.301094293,0,0,0.02811488,0
0,0,0,0.213450798,0,0,1.333333333,0,0.294117647,-7.095450916,0.040411756,6221109.152,0.162087514,0,-2.200154259,0,0,0.047433511,1
0,0,0,0.408814242,0,0,0,0,0.347826087,-5.36304173,0.068314298,2769012.919,0.281634278,0,-2.098864444,0,0,0.07665267,1
0,0,0,0.051525145,0,0,0,0,0.357142857,-4.30215908,1.082925982,1444938.621,0.167625126,0,-2.754997804,0,0,0.012366035,1
0.1875,0,0,0.336084237,0,0,0.333333333,0,0.25,-5.755085271,0,2776884.515,0.182739582,0,-2.301478808,0,0,0.046678366,0
1.3663,0,0,0.109168515,0,0,0,0,0.4,-4.770083263,0.515553531,5979968.93,0.03286385,0,-2.21404607,0,0,0.027292129,0
1.475,0,0,0.000899595,0,0,5,0,0.210526316,-4.707138818,0.203332044,8847839.119,0.228070175,0,-2.069782597,0,0,0.000224899,0
1.4503,0,0,0.252932697,0,0,2.5,0,0.275862069,-6.527465478,0.439238024,0.012021118,0.387493846,0,-2.72407591,0,0,0.047424881,0
0.2049,0,0,0.070306205,0,0,0,0,0.466666667,-5.320172001,0.571657561,8562844.545,0.078610475,0,-2.256004542,0,0,0.017217846,0
0.5543,0,0,0.030160805,0,0,10,0,0.095238095,-4.293858667,0.041562997,4967492.295,0.089791337,0,-2.427547187,0,0,0.006702401,0
3.7293,0,0,0.323366154,0,0,0,0.6,0.357142857,-6.67377031,0.092890905,894147.9561,0.235052046,0,-2.871525726,0,0,0.077607877,0
0.0074,0,0,0.302323674,0,0,0.166666667,0,0.333333333,-5.947195878,0,2091372.757,0.182739582,0,-2.324500279,0,0,0.041989399,1
1.5938,0,0,0.198203144,0,0,7.142857143,0,0.162790698,-4.157368666,0.00729635,3081713.928,0.0834087,0,-2.23603682,0,0,0.040449621,0
1.0014,0,0,0.067815945,0,0,4,0,0.208333333,-4.336848003,0.044533801,3326633.267,0.205772967,0,-2.353278722,0,0,0.016275827,0
0.4048,0,0,0.067815945,0,0,10,0,0.101449275,-3.724888248,0.155940447,2528788.392,0.152232185,0,-2.385772848,0,0,0.013839989,0
1.1374,0,0,0.033645949,0,0,6.666666667,0,0.176470588,-5.611655265,0.568465766,0.85092184,0.175049236,0,-2.296947431,0,0,0.007476878,0
0.0054,0,0,0.043141733,0,0,1.25,0,0.291666667,-6.228072913,0.065321467,4746645.527,0.139182654,0.25,-2.467903746,0,0,0.008089075,1
2.2383,0,0,0.051525145,0,0,0,0,0.357142857,-5.212408806,0.172676256,1444938.621,0.167625126,0,-2.754997804,0,0,0.012366035,0
1.6616,0,0,0.447277936,0,0,0,0.5,0.4,-6.390764773,0.902072112,5018844.867,0.264367816,0,-2.556560189,0,0,0.111819484,0
0,1,0,0.000624805,0,0,8.666666667,0,0.176470588,-4.17730797,0.459223153,0.27892558,0.09753197,0,-1.796513002,0,0,0.000138845,1
1.601,0,0,0.013137934,0,0,10,0,0.090909091,-3.680588778,0.153107852,3812887.155,0.108280255,0,-2.212012658,0,0,0.003284483,0
0,0,0,0.043141733,0,0,8.666666667,0,0.125,-4.891949813,0.664565265,0.516650102,0.06356016,0,-1.910238359,0,0,0.009587052,1
0.2843,0,0,0.031880743,0,0,6,0,0.172413793,-4.227707402,0.091792649,2368652.771,0.070236265,0,-2.399395026,0,0,0.007651378,0
0,0,0,0.067815945,0,0,5,0,0.121212121,-5.523062368,1.038171091,1.048690199,0.355648536,0,-2.269581459,0,0,0.016953986,0
0.4244,0,0,0.031880743,0,0,6,0,0.172413793,-4.171512466,0.147987585,2368652.771,0.070236265,0,-2.399395026,0,0,0.007651378,0
0,0,0,0.014296816,0,0,10,0,0.142857143,-3.51869463,0.223054115,3.476972047,0.07266436,0,-1.926265818,0,0,0.003574204,0
1.233,0,0,0.039210561,0,0,0,0.666666667,0.352941176,-6.123680942,0.173929825,304553.3797,0.056568542,0,-3.301136554,0,0,0.008713458,0
0,0,0,0.037311127,0,0,8.666666667,0,0.125,-5.33075824,0.665792832,1.108996526,0.003509215,0,-1.931641868,0,0,0.008291361,1
0.0963,1,0,0.097331588,0,0,9.333333333,0,0.142857143,-4.483582247,0.008563073,4791004.803,0.031253338,0,-2.315818804,0,0,0.021629242,1
0,0,0,0.252932697,0,0,1,0,0.193548387,-7.730855784,0.023941712,7173665.335,0.169222136,0,-2.153328179,0,0,0.056207266,1
1.209,0,0,0.00039992,0,0,10,0,0.137931034,-4.302268368,0.072985372,0.580448266,0.152416357,0,-2.029901475,0,0,1.00E-04,0
0,0,0,0.144462198,0,0,4,0,0.3,-5.891003893,0.700885707,0.131644359,0.194753986,0,-1.440915698,0,0,0.032102711,1
