bandgap,number_of_magnetic_atoms,Cr,max ionic char,V,Mn,avg d valence electrons,O,frac s valence electrons,energy_per_atom,decomposition_energy,Yang omega,Yang delta,Mo,band center,Ag,W,avg ionic char,fmafm
0,0,0,0.190711652,0.333333333,0,7.666666667,0,0.162162162,-5.534127603,0.51370355,5593621.587,0.061155181,0,-2.196625336,0,0,0.042380367,1
0,0,0,0.357394967,0.285714286,0,8,0,0.147368421,-4.474218236,0.094523127,4046715.155,0.21184401,0,-2.49609992,0,0,0.072937748,1
0,0,0,0.053727787,0.333333333,0,7.666666667,0,0.162162162,-4.577593567,0.86758966,6400330.834,0.020495849,0,-1.929932255,0,0,0.011939508,1
0,0,0,0.190711652,0.333333333,0,7.666666667,0,0.162162162,-4.945240123,1.10259103,5593621.587,0.061155181,0,-2.196625336,0,0,0.042380367,1
0,0,0,0.053727787,0.333333333,0,7.666666667,0,0.162162162,-5.42255065,0.022632577,6400330.834,0.020495849,0,-1.929932255,0,0,0.011939508,0
0,1,0,0.455779074,0,0,2.333333333,0.666666667,0.285714286,-5.306355263,0.398897553,3312073.129,0.340976393,0,-2.812493828,0,0,0.101284239,1
0.1998,0,0,0.327598738,0,0,1.25,0,0.285714286,-4.60674466,0,3441922.284,0.21184401,0,-2.782618782,0,0,0.061424763,1
0,1,0,0.455779074,0,0,2.333333333,0.666666667,0.285714286,-5.446601773,0.258651042,3312073.129,0.340976393,0,-2.812493828,0,0,0.101284239,0
1.5327,1,0,0.559138715,0.222222222,0,1.444444444,0.666666667,0.327272727,-6.951869152,0.241948173,5066814.897,0.366937587,0,-2.724710796,0,0,0.116979582,1
0.0279,0,0,0.201982698,0.333333333,0,1,0,0.352941176,-6.646569697,0,5220925.16,0.128943001,0,-2.213820164,0,0,0.044885044,1
1.1625,0,0,0.232966652,0.333333333,0,7.666666667,0,0.153846154,-4.523541917,0,5215597.901,0.21184401,0,-2.259350585,0,0,0.051770367,0
1.4089,0,0,0.078013779,0,0,3.333333333,0,0.230769231,-4.569343847,0.057421089,3507029.627,0.048613591,0,-2.373987838,0,0,0.017336395,1
0,1,0,0.008984397,0,0,9,0,0.153846154,-4.6084329,0.043303049,7061363.165,0.052631579,0,-2.002748112,0,0,0.002246099,0
0.8106,1,0,0.323366154,0,0,2.666666667,0,0.25,-3.741724203,0,3653582.16,0.21184401,0,-2.671791174,0,0,0.071859145,1
0.1097,1,0,0.336084237,0,0,2.333333333,0,0.260869565,-4.13507008,0,3724141.877,0.21184401,0,-2.657728855,0,0,0.074685386,1
0.1422,1,0,0.131184944,0,0,9.333333333,0,0.136363636,-3.040537737,0,4412981.117,0.21184401,0,-2.381947656,0,0,0.02915221,1
1.1068,0,0,0.265103055,0,0.333333333,8.333333333,0,0.146341463,-4.519665183,0,4044306.595,0.21184401,0,-2.221766038,0,0,0.05891179,1
0.5054,1,0,0.240902461,0,0,9.333333333,0,0.136363636,-3.376457487,0,3985918.429,0.21184401,0,-2.557833453,0,0,0.05353388,1
0,0,0,0.559138715,0.333333333,0,1,0.666666667,0.352941176,-5.489109577,2.285531803,4044130.195,0.377843318,0,-2.681852139,0,0,0.124253048,1
0,0,0,0.48112901,0,0,0.5,0,0.32,-4.939020943,0.005007738,2870372.434,0.21184401,0,-2.64025268,0,0,0.090211689,1
0.5924,0,0.2,0.04724739,0,0,7,0,0.155172414,-5.074372671,0,9535931.358,0.088347756,0,-1.963830111,0,0,0.007435579,1
0.2795,0,0.25,0.04724739,0,0,8.75,0,0.12962963,-4.888271576,0.021250128,5081978.148,0.031491833,0,-1.980119921,0,0,0.008858886,1
0,2,0,0.551131362,0,0,3.25,0.625,0.258064516,-4.528253893,0.132640284,4137820.052,0.365470921,0,-2.708899303,0,0,0.112802618,1
0,1,0,0.158210251,0,0,8.666666667,0,0.142857143,-3.932326747,0,4559392.531,0.21184401,0,-2.348216422,0,0,0.035157834,0
0,1,0,0.455779074,0,0,2.333333333,0.666666667,0.285714286,-5.398353227,0.306899589,3312073.129,0.340976393,0,-2.812493828,0,0,0.101284239,0
0.9251,0,0.083333333,0.590584604,0,0.25,1.666666667,0.666666667,0.306666667,-7.142145806,0.05665772,4096194.842,0.367904431,0,-2.652350374,0,0,0.128888542,1
0,0,0,0.201982698,0.333333333,0,1,0,0.352941176,-6.065972023,0.583758223,5220925.16,0.128943001,0,-2.213820164,0,0,0.044885044,0
0.74,0,0.111111111,0.590584604,0,0.222222222,1.666666667,0.666666667,0.303571429,-7.151393738,0.071835195,4348673.775,0.367240544,0,-2.657406638,0,0,0.128095059,1
1.5274,1,0,0.590584604,0,0.222222222,1.888888889,0.666666667,0.305084746,-6.630518527,0.021583948,4025667.069,0.361096004,0,-2.694409149,0,0,0.121918582,1
0.4479,0,0.333333333,0.344593746,0,0,8.333333333,0,0.125,-4.943205503,0.073949744,4783243.234,0.21184401,0,-2.44097784,0,0,0.076576388,1
1.5981,0,0,0.559138715,0.166666667,0,0.5,0.5,0.4,-6.280360956,0.087828355,3329077.91,0.21184401,0,-2.616885469,0,0,0.104119154,1
0,0,0.428571429,0.04724739,0,0,7.857142857,0,0.134146341,-6.05683874,0.06743429,7649189.386,0.036464228,0,-1.898704366,0,0,0.011570789,1
0,0,0,0.190711652,0.333333333,0,7.666666667,0,0.162162162,-6.04491861,0,5593621.587,0.061155181,0,-2.196625336,0,0,0.042380367,1
0.1864,1,0,0.590584604,0,0.222222222,1.777777778,0.666666667,0.310344828,-6.754323409,0.096996964,4059378.934,0.361096004,0,-2.686351225,0,0,0.123300822,1
0,0,0,0.232966652,0,0.333333333,1.666666667,0,0.315789474,-6.350959203,0,4049633.853,0.12133785,0,-2.176993021,0,0,0.051770367,1
1.0526,0,0,0.559138715,0.333333333,0,1,0.666666667,0.352941176,-7.637792193,0.136849187,4044130.195,0.377843318,0,-2.681852139,0,0,0.124253048,1
0,1,0,0.590584604,0,0.222222222,1.777777778,0.666666667,0.310344828,-6.754824887,0.096495486,4059378.934,0.361096004,0,-2.686351225,0,0,0.123300822,1
0,1,0,0.141097614,0,0,9,0,0.139534884,-3.36298699,0.019717283,4483540.835,0.21184401,0,-2.369410857,0,0,0.031355025,0
2.3496,0,0.333333333,0.739616569,0,0,1.666666667,0.333333333,0.263157895,-7.068856538,0.012460474,6967005.905,0.21184401,0,-2.83258663,0,0,0.150781117,1
0.0431,1,0,0.252932697,0,0,9,0,0.139534884,-3.742204313,0,4056478.146,0.21184401,0,-2.544370923,0,0,0.056207266,1
0.4845,0,0.2,0.04724739,0,0,9,0,0.132352941,-4.894520631,0,8784431.113,0.076555813,0,-1.986060189,0,0,0.007118873,1
1.0168,0,0,0.771501355,0,0.272727273,1.363636364,0,0.285714286,-5.831734531,0.07851867,2207725.108,0.21184401,0,-3.077423337,0,0,0.153025062,1
0,0,0.25,0.779729733,0,0,1.25,0.5,0.315789474,-6.448531223,0.450776595,5928413.251,0.383198599,0,-2.094656251,0,0,0.172677659,1
0,1,0,0.097331588,0,0,9,0,0.153846154,-4.82645458,0.093042682,6402499.307,0.032786885,0,-2.206920932,0,0,0.024332897,1
1.6996,1,0,0.667960055,0,0,1.4,0,0.27027027,-3.947342004,0,1649161.055,0.21184401,0,-3.425610866,0,0,0.106873609,1
0.8647,0,0.111111111,0.590584604,0,0.222222222,1.666666667,0.666666667,0.303571429,-7.151658697,0.071570236,4348673.775,0.367240544,0,-2.657406638,0,0,0.128095059,1
0,0,0,0.590584604,0,0.1,0.5,0.7,0.338983051,-7.063828486,0.126030347,1691378.57,0.297453793,0,-2.902103538,0,0,0.088558816,1
0,1,0,0.018059929,0,0,8,0,0.166666667,-5.84517008,0.086763539,7300520.43,0.056603774,0,-1.96035711,0,0,0.004514982,0
0.8442,0,0,0.590584604,0,0.105263158,0.526315789,0.684210526,0.339285714,-7.230922696,0.105403833,1811340.524,0.299210993,0,-2.876247772,0,0,0.09127117,1
1.6749,0,0,0.590584604,0,0.166666667,0.833333333,0.666666667,0.333333333,-4.88102444,0.267288119,2471026.41,0.323789515,0,-2.793625999,0,0,0.104253739,1
0.1976,0,0.333333333,0.547107279,0,0,1.666666667,0.666666667,0.277777778,-7.185808444,0.232823746,4038838.216,0.361775562,0,-2.6982053,0,0,0.121579395,1
0.2428,1,0,0.323366154,0,0,2.666666667,0,0.25,-3.615970827,0.119251023,3653582.16,0.21184401,0,-2.671791174,0,0,0.071859145,1
